SI.NO.,Prediction ,Scored.Probability ,Class
134,1,7.98E-38,1
135,1,2.19E-37,1
136,1,2.01E-37,1
137,1,1.90E-37,1
138,1,1.11E-37,1
139,1,1.00E-37,1
140,1,8.69E-38,1
141,1,3.68E-38,1
142,1,2.23E-37,1
143,1,4.20E-37,1
144,1,1.37E-37,1
145,1,2.37E-37,1
146,1,1.67E-37,1
147,1,3.61E-37,1
148,1,7.38E-37,1
149,1,6.82E-37,1
150,1,2.90E-37,1
151,1,1.39E-37,1
152,1,9.35E-37,1
153,1,1.46E-37,1
154,1,0,1
155,1,1.11E-37,1
156,1,6.49E-37,1
157,1,1.05E-37,1
158,1,5.85E-37,1
159,1,1.57E-37,1
160,1,1.54E-37,1
161,1,2.80E-37,1
162,1,2.20E-37,1
163,1,3.23E-37,1
164,1,4.58E-37,1
165,1,1.09E-36,1
166,1,8.86E-38,1
167,1,1.90E-37,1
168,1,1.54E-37,1
169,1,1.36E-37,1
170,1,8.18E-38,1
171,1,5.95E-37,1
172,1,1.68E-37,1
173,1,2.85E-37,1
174,1,9.88E-37,1
175,1,4.66E-37,1
176,1,2.56E-37,1
177,1,3.89E-37,1
178,1,2.41E-34,1
179,1,4.32E-38,1
180,1,8.95E-38,1
181,1,3.66E-37,1
182,1,0,1
183,1,2.49E-37,1
184,1,1.00E-37,1
185,1,1.78E-37,1
186,1,1.27E-37,1
187,1,7.44E-38,1
188,1,4.71E-37,1
189,1,6.42E-37,1
190,0,0.545753837,1
191,1,0.009379994,1
192,1,0.013357083,1
193,1,0,1
194,1,0.056624904,1
195,0,0.985847533,1
196,1,0.390988499,1
197,0,0.997292101,1
198,0,0.882602036,1
199,1,0.036818948,1
200,0,0.520657957,1
201,1,0.439183027,1
202,1,0.020863399,1
203,0,0.954342008,1
204,1,0.078220516,1
205,1,0.110464782,1
206,1,0.075297959,1
207,1,0.047710862,1
208,1,0.075606652,1
209,1,0.067138664,1
210,1,0.077905901,1
211,1,0,1
212,1,0.084619425,1
213,1,0.119928561,1
214,1,0,1
215,1,0,1
216,1,0,1
217,1,0,1
218,1,0,1
219,1,0,1
220,1,0,1
221,1,0,1
222,1,0,1
223,1,0,1
224,1,0,1
225,1,0,1
226,1,0,1
227,1,0,1
228,1,0,1
229,1,0,1
230,1,0,1
231,1,0,1
232,1,0,1
233,1,0,1
234,1,0,1
235,1,0,1
236,1,0,1
237,1,0,1
238,1,0,1
239,1,0,1
240,1,0,1
241,0,0.774323761,1
242,1,0.006718616,1
243,1,0.262897283,1
244,1,0.013430529,1
245,1,0.041940641,1
246,1,0.313526481,1
247,0,0.657963276,1
248,1,0.002725355,1
249,0,0.684388041,1
250,1,0,1
251,1,0.039165262,1
252,1,0.332041293,1
253,0,0.705654442,1
254,0,0.640256345,1
255,1,4.26E-05,1
256,1,0,1
257,1,0,1
258,1,0,1
259,1,0,1
260,1,0,1
261,1,0,1
262,1,0,1
263,1,0,1
264,1,0,1
265,1,0,1
266,1,0,1
267,1,0,1
268,1,0,1
269,1,0,1
270,1,0,1
271,1,0,1
272,1,0,1
273,1,0,1
274,1,0,1
275,1,0,1
276,1,0,1
277,1,0,1
278,1,0,1
279,1,0,1
280,1,0,1
281,1,0,1
282,1,0,1
283,1,0,1
284,1,0,1
285,1,0,1
286,1,0,1
287,1,0,1
288,1,0,1
289,1,0,1
290,1,0,1
291,1,0,1
292,1,0,1
293,1,0,1
294,1,0,1
295,1,0.452937096,1
296,0,0.544392705,1
297,1,0.403966337,1
298,1,0.21179612,1
299,1,0.305327863,1
300,1,0.009477079,1
301,1,0.003350449,1
302,1,0.034028377,1
303,1,0.00630389,1
304,1,0.023037564,1
305,0,0.943979502,1
306,0,0.595064044,1
307,0,0.553476036,1
308,1,0.335921198,1
309,1,0.149712414,1
310,1,0,1
311,1,0.403083503,1
312,0,0.550710976,1
313,0,0.766987979,1
314,0,0.616624951,1
315,1,0.393765599,1
316,1,0.35032329,1
317,0,0.617575228,1
318,0,0.861633778,1
319,0,0.71402359,1
320,0,0.726949155,1
321,1,0.452674359,1
322,0,0.646820188,1
323,0,0.60458523,1
324,0,0.694843292,1
325,1,0.479628861,1
326,1,0.286221862,1
327,0,0.854607701,1
328,0,0.914540112,1
329,0,0.668544948,1
330,0,0.751026511,1
331,0,0.65029794,1
332,0,0.640434086,1
333,1,0.465270728,1
334,0,0.789301932,1
335,0,0.814631641,1
336,1,0,1
337,1,0.037237067,1
338,0,0.548009574,1
339,0,0.845845819,1
340,1,0.071222156,1
341,1,0.123610474,1
342,1,0.037300304,1
343,1,0.052295666,1
344,1,0.363079488,1
345,1,0.005898842,1
346,1,0.387065679,1
347,1,0.147137746,1
348,1,0.077155091,1
349,1,0.206936926,1
350,1,0.398946017,1
351,1,0.06307333,1
352,1,0.022441819,1
353,0,0.60753268,1
354,0,0.513705611,1
355,0,0.521963477,1
356,1,0.012033762,1
357,0,0.502328396,1
358,1,0.173086911,1
359,1,0.101266801,1
360,1,0.061462536,1
361,1,0.488494039,1
362,1,0.038389932,1
363,1,0.257711083,1
364,1,0.0553266,1
365,1,0.131421238,1
366,1,0.191889316,1
367,0,0.500033855,1
368,1,0.093109205,1
369,0,0.831473172,1
370,0,0.997238636,1
371,1,0.035945546,1
372,1,0.300552279,1
373,1,0.296339601,1
374,1,0,1
375,1,0,1
376,1,0,1
377,1,0,1
378,1,0,1
379,1,0,1
380,1,0,1
381,1,0,1
382,1,0,1
383,1,0,1
384,1,0,1
385,1,0,1
386,1,0,1
387,1,0,1
388,0,0.57121706,1
389,1,0.00015769,1
390,0,0.83000046,1
391,1,0.302206039,1
392,0,0.8833915,1
393,1,0.003830592,1
394,1,0.009744632,1
395,1,0.011406487,1
396,0,0.648813665,1
397,1,8.95E-05,1
398,1,0.001085961,1
399,1,0.017953897,1
400,1,0.201397836,1
401,0,0.735259056,1
402,1,0.023570921,1
403,1,0,1
404,1,0.071105406,1
405,1,0.009196205,1
406,1,0.000927602,1
407,1,0.004455574,1
408,1,0.032089449,1
409,1,0.092216954,1
410,1,0.007651784,1
411,1,0.045527309,1
412,1,0.134665638,1
413,1,0.142964616,1
414,1,0.114947066,1
415,1,0.127487049,1
416,1,0.117801875,1
417,1,0.080038927,1
418,1,0.239157036,1
419,1,0.045358192,1
420,1,0.167904526,1
421,1,0.131732449,1
422,1,0.419318169,1
423,1,0.416849494,1
424,1,0.439227194,1
425,1,0.224604741,1
426,1,0.420822233,1
427,1,0.013633193,1
428,1,0.02711474,1
429,0,0.908852458,1
430,1,0.044386428,1
431,1,0,1
432,1,0.086376742,1
433,0,0.866858244,1
434,1,0,1
435,1,0,1
436,0,0.880139768,1
437,1,0,1
438,1,0,1
439,1,0.002128321,1
440,1,0.061532773,1
441,1,0.04704133,1
442,1,0.051695652,1
443,1,0.284864217,1
444,1,0.452311993,1
445,0,0.636662722,1
446,1,0.126031116,1
447,1,0.00022802,1
448,1,0.087401837,1
449,1,0.000367967,1
450,1,0.000861044,1
451,1,0.000646464,1
452,1,0.000272509,1
453,1,0.000960308,1
454,1,0.000392571,1
455,1,0.355881989,1
456,1,0.006058984,1
457,1,0.001732175,1
458,1,0.346179456,1
459,1,0.004586177,1
460,1,8.61E-05,1
461,1,0.056784268,1
462,1,0.296106964,1
463,1,0.030122839,1
464,1,0.181705773,1
465,1,0.423444986,1
466,1,0,1
467,1,0.028327364,1
468,1,0.064860262,1
469,1,0.006035688,1
470,1,0.135496393,1
471,1,0.035699952,1
472,1,0.21515131,1
473,1,0.017848872,1
474,1,0.017058743,1
475,1,0.015860241,1
476,1,0.026584888,1
477,1,0.000993317,1
478,1,0.00048455,1
479,1,0.083023176,1
480,0,0.999596894,1
481,1,0.264562041,1
482,1,0.000278521,1
483,1,0.225272775,1
484,0,0.811548173,1
485,1,0.003244912,1
486,1,0.078637682,1
487,1,0,1
488,1,0.321391374,1
489,1,0.077497736,1
490,1,0,1
491,1,0.040630158,1
492,1,0.016323948,1
493,1,0.045107458,1
494,1,0.008747662,1
495,1,0.0005401,1
496,1,0.000697212,1
497,1,0.00058434,1
498,1,0.000905271,1
499,1,0.00133352,1
500,1,0.001024784,1
501,1,0.001442129,1
502,1,0.001101766,1
503,1,0.00196091,1
504,0,0.562975109,1
505,1,0.000191392,1
506,1,0.002676751,1
507,1,0.00167846,1
508,1,0.000742666,1
509,1,0.001233268,1
510,1,0.00296536,1
511,1,0.001612899,1
512,1,0.000156667,1
513,1,0.002745835,1
514,1,0.038011651,1
515,1,0.055316832,1
516,1,0.077380553,1
517,1,0.086310543,1
518,1,0.09621904,1
519,1,0.216987014,1
520,1,0.224779159,1
521,1,0.090598367,1
522,1,0.182853773,1
523,1,0.11477834,1
524,1,0.021694534,1
525,1,8.33E-05,1
526,1,0.150625706,1
527,1,0.099856675,1
528,1,0.034207135,1
529,1,0.090465516,1
530,1,0.029374054,1
531,1,0.116936833,1
532,1,0.077659622,1
533,1,0.1743581,1
534,1,0.107904777,1
535,1,0.137668729,1
536,1,0.000181332,1
537,1,0.206742615,1
538,1,0,1
539,1,0.011107343,1
540,1,0,1
541,1,0.002437441,1
542,1,0.013337491,1
543,1,0.066323802,1
544,1,0.00017415,1
545,1,0.004073014,1
546,1,0.016835108,1
547,1,7.73E-07,1
548,1,0.108701989,1
549,1,0.026352024,1
550,1,0.137675047,1
551,1,0.109712116,1
552,1,0.104900315,1
553,1,0.117865331,1
554,1,0.071175985,1
555,1,0.013138323,1
556,1,6.26E-05,1
557,1,0.142696068,1
558,1,0.000552399,1
559,1,0.016796321,1
560,1,0.000739936,1
561,1,0.090864927,1
562,0,0.785634875,1
563,1,0.276160657,1
564,1,0.022934848,1
565,1,0.465591043,1
566,0,0.873412013,1
567,1,0.048079822,1
568,0,0.700858235,1
569,1,0.0109209,1
570,1,0.113639526,1
571,0,0.815015316,1
572,1,0.000668581,1
573,1,0.003879992,1
574,1,0.031465068,1
575,1,0.257510424,1
576,0,0.771612823,1
577,1,0.04873649,1
578,1,0.017338838,1
579,1,0.013113222,1
580,1,0.139690429,1
581,1,0.044857871,1
582,1,0.006014783,1
583,1,0.011215502,1
584,1,0.017349761,1
585,1,0.008247073,1
586,1,0.016464137,1
587,1,0.005517646,1
588,1,0.023510329,1
589,1,0.032018319,1
590,1,0.052505355,1
591,1,0.201909095,1
592,1,0.092634223,1
593,1,0.026693594,1
594,1,0.05522202,1
595,1,0.07020966,1
596,1,0.023963273,1
597,1,0.049823631,1
598,1,0.032723505,1
599,1,0.09734714,1
600,1,0.050469935,1
601,1,0.074738376,1
602,1,0.022614185,1
603,1,0.086561769,1
604,1,0.00422375,1
605,1,0.029478643,1
606,1,0.024837304,1
607,1,0.014868097,1
608,1,0.018706387,1
609,1,0.018141018,1
610,1,0.016327014,1
611,1,0.005255864,1
612,1,0.060106046,1
613,1,0.045330785,1
614,1,0.110364735,1
615,1,0.056271993,1
616,1,0.031945921,1
617,1,0.057075914,1
618,1,0.009656208,1
619,1,0.012495458,1
620,1,0.012688877,1
621,1,0.025175098,1
622,1,0,1
623,1,0.190040201,1
624,1,0.055562541,1
625,1,0.317662686,1
626,1,0.084807552,1
627,1,0.002995695,1
628,1,0.000769401,1
629,1,0.073875375,1
630,1,0.140367076,1
631,1,0.163528919,1
632,1,0.00072443,1
633,1,0.000699193,1
634,1,0.002684931,1
635,1,0,1
636,1,0.157454908,1
637,0,0.972290814,1
638,1,0.016698392,1
639,1,0.008563191,1
640,1,0.04717695,1
641,1,0.14524509,1
642,0,0.732799411,1
643,0,0.638300002,1
644,1,0.000804288,1
645,1,0.002258405,1
646,1,0.002794244,1
647,1,0.061664853,1
648,1,0,1
649,0,0.618981779,1
650,1,0.106162392,1
651,1,0.054863889,1
652,1,0.036848854,1
653,1,0.004685059,1
654,1,0,1
655,0,0.932884991,1
656,1,0.011993376,1
657,1,0.005048093,1
658,1,0.006204364,1
659,1,0.285023183,1
660,1,0.010118064,1
661,1,0.017669141,1
662,1,0.019170964,1
663,1,0.124928527,1
664,1,0.016805459,1
665,1,0.008128338,1
666,1,0.014915665,1
667,1,0,1
668,1,0,1
669,1,0,1
670,1,0.00927411,1
671,1,0.00872457,1
672,1,0.010624646,1
673,1,0.011885327,1
674,1,0.011885327,1
675,1,0.008519227,1
676,1,0.005688582,1
677,1,0.003551372,1
678,1,0.008935768,1
679,1,0.000334076,1
680,0,0.93661809,1
681,1,0.263186067,1
682,0,0.824215174,1
683,1,0.000840782,1
684,0,0.990541041,1
685,1,0.001963061,1
686,1,0.000404081,1
687,1,0.011835034,1
688,1,0.057181112,1
689,1,0.001450779,1
690,0,0.986712337,1
691,1,0.005246618,1
692,1,0.004780069,1
693,1,0.058495246,1
694,1,4.74E-05,1
695,1,0.037589997,1
696,1,0.095755622,1
697,0,0.622494996,1
698,1,0.026158534,1
699,1,0.005159584,1
700,1,0.020875713,1
701,0,1,1
702,1,0.236286938,1
703,0,0.669396222,1
704,1,0.000539688,1
705,1,0.429230779,1
706,1,0.014848665,1
707,1,0.107601471,1
708,1,0.000228251,1
709,1,0.071687609,1
710,1,0.229936868,1
711,1,0.001055927,1
712,1,0,1
713,1,0.000353851,1
714,1,0.000180836,1
715,0,0.775991738,1
716,1,0.079011068,1
717,1,0.001280322,1
718,1,0.000828926,1
719,1,0.001592063,1
720,0,0.97432363,1
721,1,0.00198552,1
722,1,0.000163785,1
723,1,0.000412437,1
724,1,0.00463643,1
725,1,0.00072764,1
726,1,0.002355552,1
727,1,0.005340661,1
728,1,0.079440445,1
729,1,0.000821734,1
730,1,0.001297093,1
731,1,0.002636685,1
732,1,0.000781073,1
733,1,0.097022146,1
734,1,0.000503328,1
735,0,0.888748586,1
736,0,0.673297226,1
737,0,0.573563874,1
738,1,4.58E-06,1
739,1,0.122905955,1
740,1,0.444540232,1
741,1,0.460801154,1
742,0,0.553472519,1
743,1,0.001825884,1
744,0,0.809238613,1
745,0,0.636666656,1
746,0,0.628214061,1
747,1,0.235074773,1
748,0,0.736728191,1
749,0,0.652546346,1
750,0,0.581315875,1
751,1,0.02549186,1
752,1,0.018328136,1
753,0,0.528425753,1
754,0,0.684143484,1
755,1,0,1
756,1,0,1
757,0,0.942005157,1
758,0,0.568906069,1
759,1,0.005163893,1
760,0,0.993189752,1
761,1,0.344700605,1
762,0,0.992905736,1
763,1,0.009528928,1
764,0,0.616046309,1
765,1,0.211794212,1
766,1,0.266770452,1
767,0,0.87245059,1
768,0,0.991972208,1
769,1,0.006817262,1
770,0,0.648739457,1
771,1,0.322796106,1
772,0,0.726527035,1
773,1,0.001354326,1
774,0,0.99921453,1
775,0,0.680876553,1
776,1,0.015245472,1
777,1,0.055368286,1
778,1,0.339763433,1
779,1,0.001429397,1
780,1,0.000396746,1
781,1,0.067121938,1
782,0,0.994927406,1
783,1,0,1
784,1,0.418132514,1
785,1,0.046459761,1
786,0,0.688675344,1
787,0,0.880176485,1
788,1,0.0104845,1
789,0,0.720521033,1
790,1,0.331984639,1
791,0,0.67805618,1
792,1,0.004384434,1
793,0,0.743101239,1
794,1,0.221859008,1
795,0,0.661771953,1
796,1,0.000437004,1
797,1,0.001896212,1
798,1,0.009454938,1
799,1,0.024071021,1
800,1,0.001220414,1
801,1,0.000417609,1
802,1,0.001919325,1
803,1,0.000278016,1
804,1,0.059043661,1
805,1,0,1
806,1,0.039577167,1
807,0,0.744520366,1
808,1,0.214495644,1
809,0,0.975469112,1
810,1,0.004542743,1
811,0,0.918362141,1
812,1,0.321644723,1
813,0,0.903698146,1
814,1,0.041594371,1
815,1,0.157950982,1
816,0,0.667696178,1
817,1,0.045322035,1
818,0,0.878931105,1
819,1,0.305206507,1
820,1,0.046048142,1
821,0,0.798008204,1
822,0,0.562594473,1
823,0,0.611617804,1
824,1,0,1
825,0,0.519715548,1
826,1,0.40551129,1
827,0,0.950343311,1
828,1,0.017753361,1
829,0,0.717126548,1
830,0,0.534794033,1
831,1,0.000145042,1
832,1,0.043981258,1
833,1,0.446540445,1
834,1,0.03265439,1
835,1,0.012771915,1
836,1,0.005830387,1
837,1,0.183805287,1
838,0,0.660103261,1
839,0,0.877977669,1
840,1,0.267074615,1
841,1,0.245368138,1
842,0,0.997191012,1
843,1,0.373381227,1
844,1,0.420144141,1
845,1,0.332541525,1
846,1,0.088715382,1
847,0,0.845743954,1
848,1,0.006419317,1
849,0,0.950118303,1
850,0,0.524553537,1
851,1,0.317197353,1
852,1,0.038535949,1
853,0,0.739145637,1
854,0,0.553673327,1
855,0,0.603187203,1
856,1,0.346128076,1
857,0,0.694096565,1
858,1,0.44633162,1
859,0,0.617801547,1
860,1,0.366424114,1
861,0,0.938754737,1
862,0,0.694422185,1
863,1,0.35308522,1
864,1,0.446864814,1
865,1,0.387084216,1
866,1,0.090053603,1
867,1,0.282364666,1
868,0,0.674942255,1
869,0,0.954081297,1
870,0,0.607455134,1
871,0,0.61866951,1
872,1,0.33905226,1
873,0,0.895912051,1
874,1,0.330285549,1
875,0,0.688295126,1
876,0,0.999842763,1
877,1,0.292013317,1
878,1,0.150801972,1
879,1,0,1
880,1,0.225447267,1
881,1,0.000157171,1
882,1,0.343992233,1
883,1,0.423311353,1
884,1,0.032522462,1
885,1,0.014659191,1
886,0,0.999967456,1
887,1,0,1
888,0,0.555214107,1
889,1,0.431324959,1
890,0,0.91102016,1
891,0,0.994464219,1
892,1,0.415098429,1
893,1,0.366903365,1
894,1,0.148128048,1
895,0,0.608311236,1
896,1,0,1
897,0,0.9281407,1
898,1,0.214660212,1
899,1,0.305049986,1
900,0,0.608302772,1
901,1,0.270804018,1
902,0,0.980002165,1
903,0,0.918039024,1
904,0,0.738920033,1
905,0,0.995995641,1
906,1,0.309756458,1
907,0,0.771641552,1
908,1,0.327447295,1
909,1,0.146465987,1
910,0,0.753626406,1
911,0,0.999287307,1
912,0,0.511221886,1
913,1,0.302624911,1
914,1,0,1
915,0,0.999981523,1
916,1,0.066132247,1
917,1,0.008270849,1
918,0,0.602514565,1
919,0,0.542572856,1
920,0,0.960799098,1
921,1,0.287957847,1
922,0,0.501012802,1
923,0,0.824296713,1
924,0,0.850400925,1
925,1,0.004646757,1
926,1,3.30E-05,1
927,1,0.028228207,1
928,1,0.121019505,1
929,1,0.000222228,1
930,1,0.105669662,1
931,1,0.03959037,1
932,1,0.001937254,1
933,1,0.021745844,1
934,0,0.93743974,1
935,0,0.973400295,1
936,1,0.001319934,1
937,1,0.014814999,1
938,1,0.000450695,1
939,0,0.773072004,1
940,0,0.999402881,1
941,0,0.564893484,1
942,1,0.086976185,1
943,0,0.59767282,1
944,1,0.462153494,1
945,1,0.029380688,1
946,1,0.124941036,1
947,1,0.009224123,1
948,1,0.465461999,1
949,0,0.868801236,1
950,0,0.772657931,1
951,1,0.000396882,1
952,0,0.968861818,1
953,1,0.02134425,1
954,0,0.916692555,1
955,0,0.992105365,1
956,0,0.940827489,1
957,1,0.438912511,1
958,1,0.101124898,1
959,0,0.529297113,1
960,0,0.998117566,1
961,1,0.000785576,1
962,0,0.947303772,1
963,0,0.922738075,1
964,0,0.694620132,1
965,1,0.364510208,1
966,1,0.334777176,1
967,1,0.447917312,1
968,0,0.904530227,1
969,0,0.550838649,1
970,1,0,1
971,0,0.652638257,1
972,1,0,1
973,1,0.15226993,1
974,1,0,1
975,0,0.897352934,1
976,1,0.023024516,1
977,0,0.994053066,1
978,1,0,1
979,1,0.025187552,1
980,1,0.051965989,1
981,0,0.949857235,1
982,0,0.809469163,1
983,0,0.996789753,1
984,0,0.757876992,1
985,1,0.102025487,1
986,0,0.889294386,1
987,0,0.991289139,1
988,1,0.076295771,1
989,0,0.83269608,1
990,0,0.887161136,1
991,1,0.329074144,1
992,1,0.02586714,1
993,1,0.202712476,1
994,1,0.016789835,1
995,1,0.016463704,1
996,1,0.008819734,1
997,0,0.582976639,1
998,0,0.844191372,1
999,0,0.990587056,1
1000,0,0.77861172,1
1001,1,0.180584848,1
1002,0,0.641817033,1
1003,0,0.78464818,1
1004,0,0.968310118,1
1005,0,0.996290922,1
1006,1,0.00755839,1
1007,0,0.976941407,1
1008,0,0.883133173,1
1009,0,0.759686172,1
1010,0,0.691396475,1
1011,0,0.660804093,1
1012,0,0.828321099,1
1013,0,0.655425668,1
1014,0,0.653031647,1
1015,1,0.001729921,1
1016,0,0.993506312,1
1017,0,0.944139004,1
1018,0,0.685733378,1
1019,1,0.017369088,1
1020,0,0.999998569,1
1021,1,0.344405562,1
1022,0,0.802873492,1
1023,0,0.997923315,1
1024,1,0.24271746,1
1025,0,0.947766364,1
1026,1,0.000965717,1
1027,1,0.343581289,1
1028,1,0.0029333,1
1029,0,0.676805794,1
1030,0,0.980079949,1
1031,0,0.538450956,1
1032,0,0.588393092,1
1033,1,0.080994621,1
1034,1,0.041247826,1
1035,0,0.847813547,1
1036,0,0.921355247,1
1037,0,0.832020819,1
1038,1,0.416940361,1
1039,0,0.682682812,1
1040,0,0.543055654,1
1041,0,0.999946713,1
1042,0,0.990049362,1
1043,0,0.554160178,1
1044,0,0.938246965,1
1045,1,0.000850496,1
1046,1,0.155357093,1
1047,0,0.505689621,1
1048,0,0.733165085,1
1049,0,0.64666307,1
1050,0,0.695890903,1
1051,0,0.754310846,1
1052,0,0.688911498,1
1053,0,0.558304667,1
1054,0,0.886799395,1
1055,0,0.978604198,1
1056,1,0.024290558,1
1057,0,0.804137051,1
1058,0,0.992845953,1
1059,0,0.962192416,1
1060,0,0.98031348,1
1061,0,0.8988958,1
1062,0,0.629867136,1
1063,0,0.962160408,1
1064,0,0.945454776,1
1065,0,0.723363042,1
1066,1,0.466871232,1
1067,0,0.509026229,1
1068,0,0.847642541,1
1069,0,0.628027678,1
1070,0,0.792461991,1
1071,0,0.96365732,1
1072,0,0.692888141,1
1073,0,0.617374778,1
1074,1,0.210537001,1
1075,0,0.63126272,1
1076,0,0.988536239,1
1077,1,0.392197698,1
1078,1,0.273348153,1
1079,0,0.98980242,1
1080,1,0.49834156,1
1081,0,0.930758834,1
1082,0,0.984680772,1
1083,0,0.789541602,1
1084,0,0.777799308,1
1085,1,0.450040728,1
1086,1,0.255896032,1
1087,1,0.023960955,1
1088,0,0.580566227,1
1089,0,0.924123406,1
1090,1,0.49960804,1
1091,0,0.994497836,1
1092,0,0.973702788,1
1093,0,0.900994241,1
1094,0,0.95845598,1
1095,0,0.595413327,1
1096,0,0.683843374,1
1097,0,0.990076959,1
1098,0,0.812102437,1
1099,0,0.834679246,1
1100,1,0.176984206,1
1101,0,0.660816073,1
1102,0,0.945559621,1
1103,0,0.998003304,1
1104,1,0.198138416,1
1105,0,0.586070597,1
1106,0,0.999931097,1
1107,0,0.803575635,1
1108,1,0.449795246,1
1109,1,0.138720006,1
1110,0,0.623242497,1
1111,1,0.203106731,1
1112,0,0.937348783,1
1113,0,0.958072066,1
1114,0,0.86689049,1
1115,0,0.514668107,1
1116,0,0.706451476,1
1117,1,0.066278458,1
1118,1,0.40927431,1
1119,0,0.940532565,1
1120,0,0.651117861,1
1121,0,0.989709198,1
1122,1,0.195190176,1
1123,0,0.908490598,1
1124,1,0.442318887,1
1125,0,0.994173586,1
1126,0,0.983041048,1
1127,0,0.619001567,1
1128,0,0.677131116,1
1129,1,0.185285211,1
1130,1,0.000628822,1
1131,0,0.909431279,1
1132,0,0.832941115,1
1133,0,0.999522448,1
1134,1,0.168691054,1
1135,0,0.705338776,1
1136,0,0.956392765,1
1137,0,0.517325103,1
1138,1,0.478494793,1
1139,0,0.868334055,1
1140,1,0.001360531,1
1141,0,0.899667025,1
1142,1,0,1
1143,0,0.591601849,1
1144,0,0.654099643,1
1145,1,0.248755112,1
1146,0,0.697313905,1
1147,0,0.555158556,1
1148,1,0.009521118,1
1149,1,0.098377354,1
1150,1,0.474796921,1
1151,1,0.120315209,1
1152,1,0.232253686,1
1153,1,0.397386074,1
1154,0,0.551342547,1
1155,0,0.913469195,1
1156,1,0.388698667,1
1157,1,0,1
1158,0,0.547532618,1
1159,1,0.025193453,1
1160,1,0.109144069,1
1161,0,0.994977176,1
1162,1,0,1
1163,0,0.650067985,1
1164,1,0.131498769,1
1165,0,0.676564813,1
1166,1,0.021695668,1
1167,1,0.416398913,1
1168,0,0.999440014,1
1169,0,0.705000818,1
1170,1,0.001500199,1
1171,1,0.0075738,1
1172,1,0.15387471,1
1173,0,0.754627347,1
1174,0,0.758955538,1
1175,1,0.002277602,1
1176,1,0.002014499,1
1177,1,0.168444037,1
1178,0,0.913939834,1
1179,1,0.001514841,1
1180,0,0.998018265,1
1181,0,0.99523586,1
1182,1,0.003436887,1
1183,1,0,1
1184,1,0.000524394,1
1185,1,0.30897525,1
1186,0,0.668735564,1
1187,0,0.739054263,1
1188,0,0.964640558,1
1189,1,0.024844974,1
1190,1,0.152851403,1
1191,1,0.001046697,1
1192,1,0,1
